set_id,database,pathway,msigdb_id,source_id,description,url,source_size,measured_size,measured_fraction,status,representative,jaccard
GOBP|GOBP_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT,GOBP,GOBP_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT,M15205,GO:0035850,"The process in which relatively unspecialized cells acquire specialized structural and/or functional features of an epithelial cell that characterize the cells of the kidney as it progresses from its formation to the mature state. [GOC:bf, GOC:mtg_kidney_jan10, GOC:yaf, PMID:16216236]",http://amigo.geneontology.org/amigo/term/GO:0035850,49,7,0.14285714285714285,too_few_measured,NA,NA
GOBP|GOBP_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_PROSTATE_GLAND_DEVELOPMENT,GOBP,GOBP_EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_PROSTATE_GLAND_DEVELOPMENT,M15613,GO:0060742,The process in which a relatively unspecialized cell acquires specialized features of an epithelial cell of the prostate gland. [GOC:dph],http://amigo.geneontology.org/amigo/term/GO:0060742,11,3,0.2727272727272727,source_too_small,NA,NA
GOBP|GOBP_EPITHELIAL_CELL_FATE_COMMITMENT,GOBP,GOBP_EPITHELIAL_CELL_FATE_COMMITMENT,M16390,GO:0072148,The process in which the developmental fate of a cell becomes restricted such that it will develop into an epithelial cell. [GOC:mtg_kidney_jan10],http://amigo.geneontology.org/amigo/term/GO:0072148,12,1,0.08333333333333333,source_too_small,NA,NA
GOBP|GOBP_EPITHELIAL_CELL_MATURATION,GOBP,GOBP_EPITHELIAL_CELL_MATURATION,M16225,GO:0002070,"The developmental process, independent of morphogenetic (shape) change, that is required for an epithelial cell to attain its fully functional state. An epithelial cell is a cell usually found in a two-dimensional sheet with a free surface. [GOC:dph]",http://amigo.geneontology.org/amigo/term/GO:0002070,17,1,0.058823529411764705,too_few_measured,NA,NA
GOBP|GOBP_EPITHELIAL_CELL_MORPHOGENESIS,GOBP,GOBP_EPITHELIAL_CELL_MORPHOGENESIS,M15117,GO:0003382,"The change in form that occurs when an epithelial cell progresses from its initial formation to its mature state. [GOC:ascb_2009, GOC:dph, GOC:tb]",http://amigo.geneontology.org/amigo/term/GO:0003382,39,6,0.15384615384615385,too_few_measured,NA,NA
GOBP|GOBP_EPITHELIAL_CELL_PROLIFERATION,GOBP,GOBP_EPITHELIAL_CELL_PROLIFERATION,M15437,GO:0050673,"The multiplication or reproduction of epithelial cells, resulting in the expansion of a cell population. Epithelial cells make up the epithelium, the covering of internal and external surfaces of the body, including the lining of vessels and other small cavities. It consists of cells joined by small amounts of cementing substances. [ISBN:0721662544]",http://amigo.geneontology.org/amigo/term/GO:0050673,468,57,0.12179487179487179,retained,NA,NA
GOBP|GOBP_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_LUNG_MORPHOGENESIS,GOBP,GOBP_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_LUNG_MORPHOGENESIS,M24174,GO:0060502,"The multiplication or reproduction of epithelial cells, resulting in the expansion of a cell population that contributes to the shaping of the lung. [GOC:dph]",http://amigo.geneontology.org/amigo/term/GO:0060502,12,3,0.25,source_too_small,NA,NA
GOBP|GOBP_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_MAMMARY_GLAND_DUCT_ELONGATION,GOBP,GOBP_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_MAMMARY_GLAND_DUCT_ELONGATION,M49501,GO:0060750,"The multiplication or reproduction of mammary gland branch epithelial cells, resulting in the elongation of the branch. The mammary gland branch differs from the bud in that it is not the initial curved portion of the outgrowth. [GOC:dph]",http://amigo.geneontology.org/amigo/term/GO:0060750,5,0,0,source_too_small,NA,NA
GOBP|GOBP_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_PROSTATE_GLAND_DEVELOPMENT,GOBP,GOBP_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_PROSTATE_GLAND_DEVELOPMENT,M24219,GO:0060767,"The multiplication or reproduction of epithelial cells, resulting in the expansion of a cell population that contributes to the progression of the prostate gland over time. [GOC:dph]",http://amigo.geneontology.org/amigo/term/GO:0060767,11,4,0.36363636363636365,source_too_small,NA,NA
GOBP|GOBP_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SALIVARY_GLAND_MORPHOGENESIS,GOBP,GOBP_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SALIVARY_GLAND_MORPHOGENESIS,M24197,GO:0060664,"The multiplication or reproduction of epithelial cells of the submandibular salivary gland, resulting in the expansion of a cell population and the shaping of the gland. [GOC:dph, PMID:17336109]",http://amigo.geneontology.org/amigo/term/GO:0060664,5,0,0,source_too_small,NA,NA
GOBP|GOBP_EPITHELIAL_CILIUM_MOVEMENT_INVOLVED_IN_DETERMINATION_OF_LEFT_RIGHT_ASYMMETRY,GOBP,GOBP_EPITHELIAL_CILIUM_MOVEMENT_INVOLVED_IN_DETERMINATION_OF_LEFT_RIGHT_ASYMMETRY,M24122,GO:0060287,"The movement of cilia of epithelial cells of the Left Right Organizer (LRO), also referred to as the node in mouse or the Kupffer's vesicle in zebrafish, resulting in the leftward fluid flow across the LRO and generation or transport of a signal which determines asymmetry in an organism's body plan with respect to the left and right halves. [GOC:dgh, GOC:dph, GOC:krc, GOC:mlg, PMID:28559696, PMID:29367579]",http://amigo.geneontology.org/amigo/term/GO:0060287,12,0,0,source_too_small,NA,NA
GOBP|GOBP_EPITHELIAL_FLUID_TRANSPORT,GOBP,GOBP_EPITHELIAL_FLUID_TRANSPORT,M23497,GO:0042045,"The directed movement of fluid across epithelia. [GOC:jl, PMID:11390830]",http://amigo.geneontology.org/amigo/term/GO:0042045,13,2,0.15384615384615385,source_too_small,NA,NA
GOBP|GOBP_EPITHELIAL_MESENCHYMAL_CELL_SIGNALING,GOBP,GOBP_EPITHELIAL_MESENCHYMAL_CELL_SIGNALING,M24202,GO:0060684,Any process that results in the transfer of information from an epithelial cell to a mesenchymal cell where it is interpreted. [GOC:dph],http://amigo.geneontology.org/amigo/term/GO:0060684,5,0,0,source_too_small,NA,NA
GOBP|GOBP_EPITHELIAL_STRUCTURE_MAINTENANCE,GOBP,GOBP_EPITHELIAL_STRUCTURE_MAINTENANCE,M15560,GO:0010669,"A tissue homeostatic process required for the maintenance of epithelial structure. [GOC:dph, GOC:tb]",http://amigo.geneontology.org/amigo/term/GO:0010669,43,2,0.046511627906976744,too_few_measured,NA,NA
GOBP|GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,GOBP,GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,M817,GO:0001837,"A transition where an epithelial cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell. [GOC:dph, PMID:14701881]",http://amigo.geneontology.org/amigo/term/GO:0001837,188,24,0.1276595744680851,redundant,GOBP|GOBP_MESENCHYME_DEVELOPMENT,0.5217391304347826
GOBP|GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_INVOLVED_IN_ENDOCARDIAL_CUSHION_FORMATION,GOBP,GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_INVOLVED_IN_ENDOCARDIAL_CUSHION_FORMATION,M15098,GO:0003198,"A transition where a cardiac epithelial cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell that will contribute to the formation of the endocardial cushion. [GOC:mtg_heart]",http://amigo.geneontology.org/amigo/term/GO:0003198,18,2,0.1111111111111111,too_few_measured,NA,NA
GOBP|GOBP_EPITHELIAL_TUBE_BRANCHING_INVOLVED_IN_LUNG_MORPHOGENESIS,GOBP,GOBP_EPITHELIAL_TUBE_BRANCHING_INVOLVED_IN_LUNG_MORPHOGENESIS,M10732,GO:0060441,"The process in which a highly ordered sequence of patterning events generates the branched epithelial tubes of the lung, consisting of reiterated combinations of bud outgrowth, elongation, and dichotomous subdivision of terminal units. [GOC:dph, GOC:mtg_lung]",http://amigo.geneontology.org/amigo/term/GO:0060441,31,4,0.12903225806451613,too_few_measured,NA,NA
GOBP|GOBP_EPITHELIAL_TUBE_MORPHOGENESIS,GOBP,GOBP_EPITHELIAL_TUBE_MORPHOGENESIS,M24183,GO:0060562,"The process in which the anatomical structures of a tube are generated and organized from an epithelium. Epithelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues, with tube shape and organization varying from the single-celled excretory organ in Caenorhabditis elegans to the branching trees of the mammalian kidney and insect tracheal system. [GOC:dph]",http://amigo.geneontology.org/amigo/term/GO:0060562,341,40,0.11730205278592376,retained,NA,NA
GOBP|GOBP_EPITHELIUM_DEVELOPMENT,GOBP,GOBP_EPITHELIUM_DEVELOPMENT,M10268,GO:0060429,"The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure. [GOC:dph, GOC:mtg_lung]",http://amigo.geneontology.org/amigo/term/GO:0060429,1268,171,0.13485804416403785,source_too_large,NA,NA
GOBP|GOBP_EPOXIDE_METABOLIC_PROCESS,GOBP,GOBP_EPOXIDE_METABOLIC_PROCESS,M34261,GO:0097176,"The chemical reactions and pathways involving epoxides, compounds in which an oxygen atom is directly attached to two adjacent or non-adjacent carbon atoms of a carbon chain or ring system; thus cyclic ethers. [GOC:rs, PMID:15822179]",http://amigo.geneontology.org/amigo/term/GO:0097176,5,2,0.4,source_too_small,NA,NA
GOBP|GOBP_EPOXYGENASE_P450_PATHWAY,GOBP,GOBP_EPOXYGENASE_P450_PATHWAY,M16166,GO:0019373,"The chemical reactions and pathways by which arachidonic acid is converted to other compounds including epoxyeicosatrienoic acids and dihydroxyeicosatrienoic acids. [GOC:mah, PMID:17979511]",http://amigo.geneontology.org/amigo/term/GO:0019373,18,1,0.05555555555555555,too_few_measured,NA,NA
GOBP|GOBP_EQUILIBRIOCEPTION,GOBP,GOBP_EQUILIBRIOCEPTION,M23930,GO:0050957,"The series of events required for an organism to receive an orientational stimulus, convert it to a molecular signal, and recognize and characterize the signal. Equilibrioception refers to a combination of processes by which an organism can perceive its orientation with respect to gravity. In animals, stimuli come from labyrinth system of the inner ears, monitoring the direction of motion; visual stimuli, with information on orientation and motion; pressure receptors, which tell the organism which body surfaces are in contact with the ground; and proprioceptive cues, which report which parts of the body are in motion. [PMID:29303967]",http://amigo.geneontology.org/amigo/term/GO:0050957,8,0,0,source_too_small,NA,NA
GOBP|GOBP_ERAD_PATHWAY,GOBP,GOBP_ERAD_PATHWAY,M15534,GO:0036503,"The protein catabolic pathway which targets endoplasmic reticulum (ER)-resident proteins for degradation by the cytoplasmic proteasome. It begins with recognition of the ER-resident protein, includes retrotranslocation (dislocation) of the protein from the ER to the cytosol, protein modifications necessary for correct substrate transfer (e.g. ubiquitination), transport of the protein to the proteasome, and ends with degradation of the protein by the cytoplasmic proteasome. [GOC:bf, GOC:PARL, PMID:20940304, PMID:21969857]",http://amigo.geneontology.org/amigo/term/GO:0036503,113,39,0.34513274336283184,retained,NA,NA
GOBP|GOBP_ERBB2_EGFR_SIGNALING_PATHWAY,GOBP,GOBP_ERBB2_EGFR_SIGNALING_PATHWAY,M45140,GO:0038134,"The series of molecular signals initiated by binding of a ligand to an epidermal growth factor receptor (EGFR/ERBB1) on the surface of a cell, followed by transmission of the signal by a heterodimeric complex of ERBB2 and EGFR. ERBB2, which does not bind any known ligand, is activated through formation of a heterodimer with another ligand-activated ERBB family member such as EGFR. [GOC:signaling, PMID:16460914]",http://amigo.geneontology.org/amigo/term/GO:0038134,8,0,0,source_too_small,NA,NA
GOBP|GOBP_ERBB2_ERBB4_SIGNALING_PATHWAY,GOBP,GOBP_ERBB2_ERBB4_SIGNALING_PATHWAY,M45141,GO:0038135,"The series of molecular signals initiated by binding of a ligand to a ERBB4 receptor on the surface of a cell, followed by transmission of the signal by a heterodimeric complex of ERBB2 and ERBB4. ERBB2, which does not bind any known ligand, is activated through formation of a heterodimer with another ligand-activated ERBB family member such as ERBB4. [GOC:signaling, PMID:16460914]",http://amigo.geneontology.org/amigo/term/GO:0038135,5,0,0,source_too_small,NA,NA
GOBP|GOBP_ERBB2_SIGNALING_PATHWAY,GOBP,GOBP_ERBB2_SIGNALING_PATHWAY,M11834,GO:0038128,"The series of molecular signals initiated by binding of a ligand to the tyrosine kinase receptor ERBB2 on the surface of a cell. The pathway ends with regulation of a downstream cellular process, e.g. transcription. ERBB2 receptors are themselves unable to bind to ligands, but act as a signal-amplifying tyrosine kinase within a heterodimeric pair. [GOC:jc, PMID:16460914]",http://amigo.geneontology.org/amigo/term/GO:0038128,23,9,0.391304347826087,too_few_measured,NA,NA
GOBP|GOBP_ERBB3_SIGNALING_PATHWAY,GOBP,GOBP_ERBB3_SIGNALING_PATHWAY,M45138,GO:0038129,"The series of molecular signals initiated by binding of a ligand to the tyrosine kinase receptor ERBB3 on the surface of a cell, and ending with the regulation of a downstream cellular process, e.g. transcription. ERBB3 receptors have impaired kinase activity and rely on the kinase activity of the heterodimer partner for activation and signal transmission. [GOC:jc, PMID:16460914]",http://amigo.geneontology.org/amigo/term/GO:0038129,10,7,0.7,source_too_small,NA,NA
GOBP|GOBP_ERBB4_ERBB4_SIGNALING_PATHWAY,GOBP,GOBP_ERBB4_ERBB4_SIGNALING_PATHWAY,M45142,GO:0038138,"The series of molecular signals initiated by binding of a ligand to the tyrosine kinase receptor ERBB4, followed by ligand-induced homodimerization of ERBB4 and transmission of the signal into the cell by the homodimeric ERBB4 complex. The pathway ends with regulation of a downstream cellular process, e.g. transcription. [GOC:signaling, PMID:16460914]",http://amigo.geneontology.org/amigo/term/GO:0038138,6,0,0,source_too_small,NA,NA
GOBP|GOBP_ERBB4_SIGNALING_PATHWAY,GOBP,GOBP_ERBB4_SIGNALING_PATHWAY,M45139,GO:0038130,"The series of molecular signals initiated by binding of a ligand to the tyrosine kinase receptor ERBB4 on the surface of a cell, and ending with the regulation of a downstream cellular process, e.g. transcription. [GOC:jc, PMID:16460914]",http://amigo.geneontology.org/amigo/term/GO:0038130,10,0,0,source_too_small,NA,NA
GOBP|GOBP_ERBB_SIGNALING_PATHWAY,GOBP,GOBP_ERBB_SIGNALING_PATHWAY,M12775,GO:0038127,"The series of molecular signals initiated by binding of a ligand to a member of the ERBB family of receptor tyrosine kinases on the surface of a cell, and ending with the regulation of a downstream cellular process, e.g. transcription. [GOC:jc, PMID:16460914, Wikipedia:ErbB]",http://amigo.geneontology.org/amigo/term/GO:0038127,150,35,0.23333333333333334,retained,NA,NA
GOBP|GOBP_ERK1_AND_ERK2_CASCADE,GOBP,GOBP_ERK1_AND_ERK2_CASCADE,M16677,GO:0070371,"A MAPK cascade containing at least the ERK1 or ERK2 MAP kinases. It starts with the activation of a MAP3K, and the consecutive activation of a MPK2K and of ERK1 or ERK2. The cascade can also contain an additional tier: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier. The ERK1/ERK2 cascade is activated by mitogens, growth factors, G protein-coupled receptors, and results in cellular responses such as cell proliferation, cell differentiation and development. [PMID:20811974, PMID:23125017, PMID:28903453]",http://amigo.geneontology.org/amigo/term/GO:0070371,334,44,0.1317365269461078,retained,NA,NA
GOBP|GOBP_ERK5_CASCADE,GOBP,GOBP_ERK5_CASCADE,M45195,GO:0070375,"A MAPK cascade containing at least the ERK5 MAP kinase (MAPK7; also called BMK1). It starts with the activation of a MAP3K, and the consecutive activation of a MPK2K and of ERK5. The cascade can also contain an additional tier: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinases in the downstream tier. The ERK5 cascade is activated by stress, mitogens, and by G protein-coupled receptors, and results in cellular responses such as cell growth, cell differentiation and development. [PMID:16376520, PMID:16880823, PMID:20811974, PMID:23125017, PMID:28903453]",http://amigo.geneontology.org/amigo/term/GO:0070375,5,1,0.2,source_too_small,NA,NA
GOBP|GOBP_ERROR_FREE_TRANSLESION_SYNTHESIS,GOBP,GOBP_ERROR_FREE_TRANSLESION_SYNTHESIS,M12348,GO:0070987,"The conversion of DNA-damage induced single-stranded gaps into large molecular weight DNA after replication by using a specialized DNA polymerase or replication complex to insert a defined nucleotide across the lesion. This process does not remove the replication-blocking lesions but does not causes an increase in the endogenous mutation level. For S. cerevisiae, RAD30 encodes DNA polymerase eta, which incorporates two adenines. When incorporated across a thymine-thymine dimer, it does not increase the endogenous mutation level. [GOC:elh]",http://amigo.geneontology.org/amigo/term/GO:0070987,5,2,0.4,source_too_small,NA,NA
GOBP|GOBP_ERROR_PRONE_TRANSLESION_SYNTHESIS,GOBP,GOBP_ERROR_PRONE_TRANSLESION_SYNTHESIS,M14864,GO:0042276,"The conversion of DNA-damage induced single-stranded gaps into large molecular weight DNA after replication by using a specialized DNA polymerase or replication complex to insert a defined nucleotide across the lesion. This process does not remove the replication-blocking lesions and causes an increase in the endogenous mutation level. For example, in E. coli, a low fidelity DNA polymerase, pol V, copies lesions that block replication fork progress. This produces mutations specifically targeted to DNA template damage sites, but it can also produce mutations at undamaged sites. [GOC:elh, GOC:jl, PMID:11485998]",http://amigo.geneontology.org/amigo/term/GO:0042276,12,0,0,source_too_small,NA,NA
GOBP|GOBP_ERYTHROCYTE_DEVELOPMENT,GOBP,GOBP_ERYTHROCYTE_DEVELOPMENT,M16510,GO:0048821,"The process whose specific outcome is the progression of an erythrocyte over time, from its formation to the mature structure. [GOC:devbiol]",http://amigo.geneontology.org/amigo/term/GO:0048821,53,4,0.07547169811320754,too_few_measured,NA,NA
GOBP|GOBP_ERYTHROCYTE_HOMEOSTASIS,GOBP,GOBP_ERYTHROCYTE_HOMEOSTASIS,M10976,GO:0034101,"Any process of regulating the production and elimination of erythrocytes within an organism. [GOC:add, PMID:10694114, PMID:14754397]",http://amigo.geneontology.org/amigo/term/GO:0034101,165,34,0.20606060606060606,retained,NA,NA
GOBP|GOBP_ERYTHROCYTE_MATURATION,GOBP,GOBP_ERYTHROCYTE_MATURATION,M13459,GO:0043249,"A developmental process, independent of morphogenetic (shape) change, that is required for an erythrocyte to attain its fully functional state. [GOC:devbiol, GOC:jl]",http://amigo.geneontology.org/amigo/term/GO:0043249,23,2,0.08695652173913043,too_few_measured,NA,NA
GOBP|GOBP_ERYTHROPOIETIN_MEDIATED_SIGNALING_PATHWAY,GOBP,GOBP_ERYTHROPOIETIN_MEDIATED_SIGNALING_PATHWAY,M49440,GO:0038162,"The series of molecular signals initiated by erythropoietin (EPO) binding to the erythropoietin receptor (EPO-R) on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription. [GOC:nhn, PMID:12489509]",http://amigo.geneontology.org/amigo/term/GO:0038162,6,1,0.16666666666666666,source_too_small,NA,NA
GOBP|GOBP_ER_NUCLEUS_SIGNALING_PATHWAY,GOBP,GOBP_ER_NUCLEUS_SIGNALING_PATHWAY,M12546,GO:0006984,"The series of molecular signals that conveys information from the endoplasmic reticulum to the nucleus, usually resulting in a change in transcriptional regulation. [GOC:mah]",http://amigo.geneontology.org/amigo/term/GO:0006984,55,18,0.32727272727272727,retained,NA,NA
GOBP|GOBP_ER_OVERLOAD_RESPONSE,GOBP,GOBP_ER_OVERLOAD_RESPONSE,M22491,GO:0006983,The series of molecular signals initiated by the accumulation of normal or misfolded proteins in the endoplasmic reticulum and leading to activation of transcription by NF-kappaB. [PMID:10390516],http://amigo.geneontology.org/amigo/term/GO:0006983,11,4,0.36363636363636365,source_too_small,NA,NA
GOBP|GOBP_ESCRT_COMPLEX_DISASSEMBLY,GOBP,GOBP_ESCRT_COMPLEX_DISASSEMBLY,M25302,GO:1904896,"The disaggregation of an ESCRT complex into its constituent components. [GO_REF:0000079, GOC:pad, GOC:PARL, GOC:TermGenie, PMID:21118109]",http://amigo.geneontology.org/amigo/term/GO:1904896,10,8,0.8,source_too_small,NA,NA
GOBP|GOBP_ESTABLISHMENT_OF_BLOOD_BRAIN_BARRIER,GOBP,GOBP_ESTABLISHMENT_OF_BLOOD_BRAIN_BARRIER,M24227,GO:0060856,"Establishment of the barrier between the blood and the brain. The cells in the brain are packed tightly together preventing the passage of most molecules from the blood into the brain. Only lipid soluble molecules or those that are actively transported can pass through the blood-brain barrier. [GOC:aruk, GOC:dph, GOC:sart, PMID:20080302, PMID:30280653]",http://amigo.geneontology.org/amigo/term/GO:0060856,16,3,0.1875,too_few_measured,NA,NA
GOBP|GOBP_ESTABLISHMENT_OF_BLOOD_RETINAL_BARRIER,GOBP,GOBP_ESTABLISHMENT_OF_BLOOD_RETINAL_BARRIER,M46924,GO:1990963,"Establishment of the barrier between the blood and the retina. The blood-retinal barrier is located at two levels, forming an outer barrier in the retinal pigment epithelium and an inner barrier in the endothelial membrane of the retinal vessels. Both these membranes have tight junctions of the 'nonleaky' type. [PMID:25053619]",http://amigo.geneontology.org/amigo/term/GO:1990963,5,1,0.2,source_too_small,NA,NA
GOBP|GOBP_ESTABLISHMENT_OF_CELL_POLARITY,GOBP,GOBP_ESTABLISHMENT_OF_CELL_POLARITY,M12181,GO:0030010,The specification and formation of anisotropic intracellular organization or cell growth patterns. [GOC:mah],http://amigo.geneontology.org/amigo/term/GO:0030010,162,35,0.21604938271604937,redundant,GOBP|GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,0.603448275862069
GOBP|GOBP_ESTABLISHMENT_OF_CENTROSOME_LOCALIZATION,GOBP,GOBP_ESTABLISHMENT_OF_CENTROSOME_LOCALIZATION,M24023,GO:0051660,The directed movement of the centrosome to a specific location. [GOC:ai],http://amigo.geneontology.org/amigo/term/GO:0051660,7,3,0.42857142857142855,source_too_small,NA,NA
GOBP|GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER,GOBP,GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER,M14965,GO:0061028,"The establishment of a barrier between endothelial cell layers, such as those in the brain, lung or intestine, to exert specific and selective control over the passage of water and solutes, thus allowing formation and maintenance of compartments that differ in fluid and solute composition. [GOC:dph]",http://amigo.geneontology.org/amigo/term/GO:0061028,55,17,0.3090909090909091,redundant,GOBP|GOBP_ENDOTHELIUM_DEVELOPMENT,0.5483870967741935
GOBP|GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_INTESTINAL_BARRIER,GOBP,GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_INTESTINAL_BARRIER,M10692,GO:0090557,"The establishment of a barrier between endothelial cell layers of the intestine to exert specific and selective control over the passage of water and solutes, thus allowing formation and maintenance of compartments that differ in fluid and solute composition. [GOC:krc, PMID:22155109]",http://amigo.geneontology.org/amigo/term/GO:0090557,15,6,0.4,too_few_measured,NA,NA
GOBP|GOBP_ESTABLISHMENT_OF_EPITHELIAL_CELL_APICAL_BASAL_POLARITY,GOBP,GOBP_ESTABLISHMENT_OF_EPITHELIAL_CELL_APICAL_BASAL_POLARITY,M23697,GO:0045198,"The specification and formation of the apicobasal polarity of an epithelial cell. [GOC:ascb_2009, GOC:bf, GOC:dph, GOC:tb]",http://amigo.geneontology.org/amigo/term/GO:0045198,17,4,0.23529411764705882,too_few_measured,NA,NA
GOBP|GOBP_ESTABLISHMENT_OF_EPITHELIAL_CELL_POLARITY,GOBP,GOBP_ESTABLISHMENT_OF_EPITHELIAL_CELL_POLARITY,M10706,GO:0090162,"The specification and formation of anisotropic intracellular organization of an epithelial cell. [GOC:ascb_2009, GOC:dph, GOC:tb]",http://amigo.geneontology.org/amigo/term/GO:0090162,30,6,0.2,too_few_measured,NA,NA
GOBP|GOBP_ESTABLISHMENT_OF_GOLGI_LOCALIZATION,GOBP,GOBP_ESTABLISHMENT_OF_GOLGI_LOCALIZATION,M24028,GO:0051683,The directed movement of the Golgi to a specific location. [GOC:ai],http://amigo.geneontology.org/amigo/term/GO:0051683,8,4,0.5,source_too_small,NA,NA
GOBP|GOBP_ESTABLISHMENT_OF_LEFT_RIGHT_ASYMMETRY,GOBP,GOBP_ESTABLISHMENT_OF_LEFT_RIGHT_ASYMMETRY,M42894,GO:0061966,"The initial formation of the type asymmetry in an organism's body plan or part of an organism with respect to the left and right halves. [GOC:BHF, PMID:18629866]",http://amigo.geneontology.org/amigo/term/GO:0061966,8,0,0,source_too_small,NA,NA
GOBP|GOBP_ESTABLISHMENT_OF_LOCALIZATION_IN_CELL,GOBP,GOBP_ESTABLISHMENT_OF_LOCALIZATION_IN_CELL,M50476,GO:0051649,"Any process, occurring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation. [GOC:ai, GOC:dos, GOC:dph, GOC:tb]",http://amigo.geneontology.org/amigo/term/GO:0051649,1951,543,0.27831881086622245,source_too_large,NA,NA
GOBP|GOBP_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY,GOBP,GOBP_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY,M22185,GO:0001767,"The directed orientation of lymphocyte signaling molecules and associated membrane rafts towards a chemokine gradient or a contact point with an appropriate activating cell. [GOC:mgi_curators, PMID:11244041, PMID:12615889]",http://amigo.geneontology.org/amigo/term/GO:0001767,16,3,0.1875,too_few_measured,NA,NA
GOBP|GOBP_ESTABLISHMENT_OF_MEIOTIC_SISTER_CHROMATID_COHESION,GOBP,GOBP_ESTABLISHMENT_OF_MEIOTIC_SISTER_CHROMATID_COHESION,M50430,GO:0034089,The process in which the sister chromatids of a replicated chromosome become joined along the entire length of the chromosome during S phase during a meiotic cell cycle. [GOC:mah],http://amigo.geneontology.org/amigo/term/GO:0034089,6,0,0,source_too_small,NA,NA
GOBP|GOBP_ESTABLISHMENT_OF_MEIOTIC_SPINDLE_LOCALIZATION,GOBP,GOBP_ESTABLISHMENT_OF_MEIOTIC_SPINDLE_LOCALIZATION,M23978,GO:0051295,The cell cycle process in which the directed movement of the meiotic spindle to a specific location in the cell occurs. [GOC:ai],http://amigo.geneontology.org/amigo/term/GO:0051295,8,1,0.125,source_too_small,NA,NA
GOBP|GOBP_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION,GOBP,GOBP_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION,M15934,GO:0051654,The directed movement of the mitochondrion to a specific location. [GOC:ai],http://amigo.geneontology.org/amigo/term/GO:0051654,38,14,0.3684210526315789,too_few_measured,NA,NA
GOBP|GOBP_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION_MICROTUBULE_MEDIATED,GOBP,GOBP_ESTABLISHMENT_OF_MITOCHONDRION_LOCALIZATION_MICROTUBULE_MEDIATED,M48428,GO:0034643,"The directed movement of the mitochondrion to a specific location, by a process involving microtubules. [GOC:mah, PMID:12972644, PMID:15979253, PMID:16306220]",http://amigo.geneontology.org/amigo/term/GO:0034643,31,13,0.41935483870967744,too_few_measured,NA,NA
GOBP|GOBP_ESTABLISHMENT_OF_MITOTIC_SISTER_CHROMATID_COHESION,GOBP,GOBP_ESTABLISHMENT_OF_MITOTIC_SISTER_CHROMATID_COHESION,M45849,GO:0034087,The process in which the sister chromatids of a replicated chromosome become joined along the entire length of the chromosome during S phase during a mitotic cell cycle. [GOC:mah],http://amigo.geneontology.org/amigo/term/GO:0034087,7,1,0.14285714285714285,source_too_small,NA,NA
GOBP|GOBP_ESTABLISHMENT_OF_MITOTIC_SPINDLE_LOCALIZATION,GOBP,GOBP_ESTABLISHMENT_OF_MITOTIC_SPINDLE_LOCALIZATION,M15825,GO:0040001,The cell cycle process in which the directed movement of the mitotic spindle to a specific location in the cell occurs. [GOC:ai],http://amigo.geneontology.org/amigo/term/GO:0040001,40,13,0.325,too_few_measured,NA,NA
