protein,gene,module,kME_own_module
P22033,MMUT,3,0.42636538088959824
P22059,OSBP,7,0.383541906419497
P22061,PCMT1,0,NA
P22102,GART,9,0.3069551834504207
P22105,TNXB,1,0.5231094573758992
P22234,PAICS,5,0.4054669706622924
P22307,SCP2,7,0.5975064572910779
P22314,UBA1,1,0.5997067072915078
P22352,GPX3,1,0.7301914085014747
P22392,NME2,9,0.6569826714270023
P22570,FDXR,0,NA
P22612,PRKACG,0,NA
P22626,HNRNPA2B1,2,0.6191866336425205
P22694,PRKACB,0,NA
P22695,UQCRC2,10,0.7379767462188106
P22748,CA4,0,NA
P22830,FECH,4,0.42655210644393776
P22897,MRC1,1,0.6634417771125312
P23109,AMPD1,4,0.6088812593522395
P23141,CES1,1,0.5331284685137377
P23142,FBLN1,1,0.7324463624588571
P23229,ITGA6,1,0.4226695000216111
P23246,SFPQ,8,0.5238677840280492
P23284,PPIB,1,0.7342383925132643
P23297,S100A1,9,0.7712168732914356
P23327,HRC,2,0.47275559662323424
P23352,ANOS1,2,0.6926367068266649
P23368,ME2,3,0.544061019100716
P23381,WARS1,7,0.5096257654636436
P23396,RPS3,8,0.7498395492928898
P23434,GCSH,0,NA
P23443,RPS6KB1,0,NA
P23526,AHCY,1,0.3125532550299809
P23528,CFL1,1,0.5934711141939768
P23588,EIF4B,0,NA
P23634,ATP2B4,1,0.5294492912288365
P23786,CPT2,3,0.6100586039506545
P23921,RRM1,0,NA
P23946,CMA1,1,0.494087590510793
P24043,LAMA2,2,0.7597960396400193
P24298,GPT,4,0.6350341613281395
P24310,COX7A1,9,0.34105327068885166
P24311,COX7B,0,NA
P24534,EEF1B2,8,0.4283543078224753
P24539,ATP5PB,3,0.6308883540150829
P24592,IGFBP6,1,0.756716237736677
P24593,IGFBP5,0,NA
P24666,ACP1,0,NA
P24752,ACAT1,3,0.35595162495296623
P24844,MYL9,1,0.495941872134742
P25325,MPST,5,0.46993808676799764
P25398,RPS12,8,0.7516598912958485
P25686,DNAJB2,5,0.39996892123742944
P25705,ATP5F1A,3,0.6730138188001493
P25786,PSMA1,0,NA
P25787,PSMA2,5,0.47668735324933825
P25788,PSMA3,0,NA
P25789,PSMA4,5,0.31685598511546564
P26038,MSN,1,0.8186395749318792
P26196,DDX6,4,0.3505016605104902
P26368,U2AF2,0,NA
P26373,RPL13,2,0.5077016435877599
P26440,IVD,0,NA
P26447,S100A4,1,0.7768352406499454
P26583,HMGB2,1,0.3202303965006067
P26599,PTBP1,1,0.6565089470484784
P26639,TARS1,0,NA
P26640,VARS1,6,0.5715937928940715
P26641,EEF1G,8,0.464001251742664
P26678,PLN,4,0.6175772151628858
P26885,FKBP2,1,0.31858946522196474
P27105,STOM,5,0.8608143400370057
P27338,MAOB,10,0.5562414211304044
P27348,YWHAQ,1,0.7169939869329411
P27361,MAPK3,1,0.4180851659548044
P27448,MARK3,4,0.345943396856184
P27635,RPL10,8,0.3708580344331195
P27694,RPA1,4,0.4065643816844257
P27695,APEX1,1,0.4683487196966157
P27797,CALR,1,0.42692983904226833
P27816,MAP4,1,0.47433504934292975
P27824,CANX,1,0.5096566451164035
P27986,PIK3R1,0,NA
P28066,PSMA5,1,0.33702291693214537
P28070,PSMB4,7,0.5928362355903687
P28072,PSMB6,0,NA
P28074,PSMB5,4,0.44118632461159385
P28161,GSTM2,0,NA
P28289,TMOD1,2,0.757790002941198
P28331,NDUFS1,10,0.7894728365792468
P28482,MAPK1,0,NA
P28799,GRN,1,0.4069147674403907
P28838,LAP3,1,0.5069088393078829
P28906,CD34,1,0.6430927948527981
P28907,CD38,4,0.4422881694980224
P29144,TPP2,5,0.3623908457944201
P29218,IMPA1,4,0.41210488461899064
P29401,TKT,1,0.8395019036041028
P29475,NOS1,2,0.3576378619534017
P29536,LMOD1,2,0.6320889847286398
P29692,EEF1D,8,0.3864260365575722
P29966,MARCKS,1,0.6272215746859531
P29972,AQP1,5,0.43323293256571954
P29992,GNA11,1,0.36867843921846066
P30038,ALDH4A1,3,0.3699591215005865
P30040,ERP29,0,NA
P30041,PRDX6,5,0.4821406514120668
P30043,BLVRB,5,0.8995436495462957
P30044,PRDX5,9,0.5485087783163852
P30046,DDT,9,0.5465742777338642
P30048,PRDX3,1,0.31378585947553816
P30049,ATP5F1D,3,0.38099671828358334
P30050,RPL12,2,0.6615448278157672
P30084,ECHS1,0,NA
P30085,CMPK1,7,0.5408829599181869
P30086,PEBP1,5,0.3872647408607637
P30101,PDIA3,1,0.8801776751630863
P30153,PPP2R1A,5,0.524669880260662
P30405,PPIF,3,0.31377166733927697
P30419,NMT1,8,0.49138837228703314
P30519,HMOX2,0,NA
P30520,ADSS2,1,0.40769093037069953
P30533,LRPAP1,0,NA
P30536,TSPO,0,NA
P30566,ADSL,9,0.6418952613103406
P30613,PKLR,5,0.6557193552474146
P30622,CLIP1,6,0.6002746001535227
P30626,SRI,5,0.6844706021523775
P30711,GSTT1,6,0.317040480696113
P30740,SERPINB1,0,NA
P30837,ALDH1B1,3,0.5352785053276221
P31040,SDHA,3,0.6105883517338929
P31146,CORO1A,5,0.4872414531396367
P31150,GDI1,0,NA
P31153,MAT2A,0,NA
P31415,CASQ1,2,0.43420007508935843
P31689,DNAJA1,0,NA
P31749,AKT1,3,0.42309136683139215
P31751,AKT2,3,0.44960132825642085
P31930,UQCRC1,10,0.6748208943077132
P31937,HIBADH,9,0.630062883905309
P31939,ATIC,1,0.3729725333966134
P31942,HNRNPH3,2,0.5716630825206127
P31943,HNRNPH1,2,0.4295825231301174
P31946,YWHAB,1,0.6277430805422701
P31948,STIP1,0,NA
P31949,S100A11,1,0.7407610534652276
P32119,PRDX2,5,0.8779259736345868
P32456,GBP2,0,NA
P32969,RPL9,2,0.5313245156305038
P33121,ACSL1,3,0.5650939123093297
P33176,KIF5B,0,NA
P33316,DUT,7,0.5072101369040009
P33897,ABCD1,2,0.3162600727336592
P34896,SHMT1,0,NA
P34897,SHMT2,0,NA
P34913,EPHX2,0,NA
P34931,HSPA1L,0,NA
P34932,HSPA4,6,0.5291233943350723
P34949,MPI,3,0.3217025889744273
P35052,GPC1,0,NA
P35080,PFN2,0,NA
P35221,CTNNA1,2,0.3640158834996642
P35222,CTNNB1,0,NA
P35232,PHB,0,NA
P35237,SERPINB6,7,0.4739154073360111
P35241,RDX,4,0.5192526535608996
P35244,RPA3,0,NA
P35268,RPL22,8,0.8391394658971152
P35270,SPR,9,0.4814036702956796
P35443,THBS4,1,0.6795844654698585
P35499,SCN4A,0,NA
P35555,FBN1,2,0.4704830982949505
P35556,FBN2,0,NA
P35573,AGL,4,0.6412537333575189
P35579,MYH9,1,0.8633583918464146
P35580,MYH10,1,0.4689310899986059
P35606,COPB2,0,NA
P35609,ACTN2,2,0.8124038486494529
P35611,ADD1,5,0.7588531800407013
P35612,ADD2,5,0.8143750795066746
P35613,BSG,1,0.3756809993996915
P35637,FUS,0,NA
P35659,DEK,1,0.3372126384181639
P35749,MYH11,1,0.40029060923298715
P35754,GLRX,9,0.43037156584596864
P35813,PPM1A,7,0.3976680719447361
P35914,HMGCL,3,0.4292413435363145
P35998,PSMC2,5,0.43743301491608194
P36269,GGT5,1,0.5306286697601742
P36404,ARL2,1,0.30936425071744494
P36405,ARL3,6,0.4549384535578584
P36507,MAP2K2,6,0.3399671673462637
P36542,ATP5F1C,3,0.510120382340825
P36543,ATP6V1E1,9,0.4992626276987402
P36551,CPOX,7,0.40928832649493224
P36578,RPL4,2,0.7664118340299079
P36776,LONP1,3,0.6242070851790952
P36871,PGM1,1,0.34103134666524637
P36873,PPP1CC,7,0.40701932535510643
P36954,POLR2I,4,0.3846140851701141
P36955,SERPINF1,1,0.7576468241205327
P36957,DLST,3,0.5507183930703357
P36959,GMPR,5,0.49947921625864244
P36969,GPX4,0,NA
P37108,SRP14,2,0.48116243897748817
P37235,HPCAL1,0,NA
P37802,TAGLN2,1,0.8837529248325466
P37837,TALDO1,5,0.7687681927550684
P37840,SNCA,5,0.8423018698199682
P38117,ETFB,3,0.6769727747917011
P38606,ATP6V1A,1,0.3791599749471118
P38646,HSPA9,3,0.5958551108439026
P38919,EIF4A3,2,0.3585959170019677
P39019,RPS19,8,0.5908543361213685
P39023,RPL3,1,0.5901626121470919
P39059,COL15A1,2,0.5287769146153493
P39060,COL18A1,1,0.4590141476421116
P39656,DDOST,8,0.5311369373229439
P39687,ANP32A,1,0.44470358235527924
P39748,FEN1,0,NA
P40121,CAPG,1,0.6547211948145479
P40123,CAP2,2,0.3885843531101011
P40227,CCT6A,5,0.42894807349051267
P40261,NNMT,1,0.5869643217937003
P40306,PSMB10,1,0.420417184909265
P40429,RPL13A,2,0.6344110338643865
P40616,ARL1,0,NA
P40763,STAT3,0,NA
P40855,PEX19,4,0.44884719689396224
P40925,MDH1,9,0.37707468771188435
P40926,MDH2,3,0.5266262214779798
P40939,HADHA,0,NA
P41091,EIF2S3,4,0.4541239599997525
P41222,PTGDS,1,0.4570947511621914
P41227,NAA10,6,0.43920297951693
P41236,PPP1R2,0,NA
P41250,GARS1,9,0.3724434390653173
P41252,IARS1,3,0.4852482714724103
P41567,EIF1,0,NA
P42025,ACTR1B,0,NA
P42126,ECI1,3,0.4917363657237077
P42224,STAT1,1,0.3204354055680224
P42330,AKR1C3,0,NA
P42345,MTOR,0,NA
P42566,EPS15,5,0.38608660499575126
P42574,CASP3,0,NA
P42677,RPS27,2,0.31550307338712463
P42704,LRPPRC,3,0.7572919040888483
P42765,ACAA2,3,0.3743437384265504
P42766,RPL35,8,0.41651355129776346
P43007,SLC1A4,0,NA
P43034,PAFAH1B1,4,0.37138231024279605
P43121,MCAM,1,0.7287940147957854
P43155,CRAT,3,0.7397574833847774
P43243,MATR3,2,0.6281233791165544
P43304,GPD2,4,0.6101251672712169
P43307,SSR1,1,0.4187742172845031
P43487,RANBP1,5,0.7222343233905821
P43490,NAMPT,3,0.5682506093261889
P43686,PSMC4,0,NA
P43897,TSFM,3,0.5201600074993665
P45378,TNNT3,2,0.9065311597118674
P45381,ASPA,9,0.5105074570909954
P45877,PPIC,9,0.38659560305311674
P45880,VDAC2,10,0.7442929618145127
P45954,ACADSB,0,NA
P45974,USP5,1,0.46840787533679334
P45984,MAPK9,0,NA
P45985,MAP2K4,4,0.317870372534809
P46020,PHKA1,3,0.5147010138836268
P46060,RANGAP1,5,0.3209089513498122
P46063,RECQL,0,NA
P46108,CRK,1,0.3492892465366686
P46109,CRKL,0,NA
P46199,MTIF2,3,0.332301153322108
P46379,BAG6,0,NA
P46459,NSF,0,NA
P46527,CDKN1B,0,NA
P46734,MAP2K3,0,NA
P46736,BRCC3,4,0.36389116660151866
P46776,RPL27A,8,0.7141774029287379
P46777,RPL5,8,0.7689749595547235
P46778,RPL21,2,0.6349089131645699
P46779,RPL28,2,0.6088667845672486
P46781,RPS9,8,0.6185320621135748
P46782,RPS5,8,0.7194982373139883
P46783,RPS10,8,0.5583699774968194
P46821,MAP1B,1,0.5980844929085884
P46926,GNPDA1,7,0.5641327841836361
P46937,YAP1,1,0.36149486680708526
P46939,UTRN,1,0.43847018844039587
P46940,IQGAP1,1,0.83736023353836
P46976,GYG1,4,0.4776050312906273
P46977,STT3A,0,NA
P47755,CAPZA2,2,0.7583320672840904
P47756,CAPZB,2,0.7974397541459551
P47813,EIF1AX,0,NA
P47897,QARS1,3,0.4566235961367522
P47914,RPL29,2,0.3954645823638057
P47985,UQCRFS1,10,0.5351920848960161
P48047,ATP5PO,0,NA
P48059,LIMS1,1,0.35172444553183785
P48147,PREP,4,0.6440075191775685
P48163,ME1,5,0.389815373079233
P48426,PIP4K2A,5,0.627072974897823
P48444,ARCN1,0,NA
P48449,LSS,4,0.32724318801425284
P48454,PPP3CC,0,NA
P48506,GCLC,5,0.794298015313434
P48507,GCLM,5,0.5432212157381406
P48509,CD151,1,0.38923493837729545
P48556,PSMD8,0,NA
P48637,GSS,5,0.7149523849253118
P48643,CCT5,5,0.36293958658194686
P48681,NES,2,0.46523850504033415
P48735,IDH2,3,0.5655401333131334
P48739,PITPNB,1,0.41098332001278
P48788,TNNI2,2,0.8191893803753332
P49006,MARCKSL1,6,0.4883706802566738
P49023,PXN,0,NA
P49137,MAPKAPK2,0,NA
P49184,DNASE1L1,0,NA
P49189,ALDH9A1,5,0.3976499724401441
P49207,RPL34,0,NA
P49247,RPIA,5,0.5851245786040598
P49257,LMAN1,0,NA
P49327,FASN,1,0.5795344721811255
P49354,FNTA,9,0.48670388700904593
P49366,DHPS,2,0.3059431052920258
P49368,CCT3,1,0.37028777356300624
P49406,MRPL19,3,0.40123748919333513
P49407,ARRB1,1,0.3522627521513441
P49411,TUFM,3,0.8096105572773836
P49419,ALDH7A1,1,0.4514020636244424
P49427,CDC34,5,0.5373608070105074
P49441,INPP1,0,NA
P49458,SRP9,2,0.32263226550026525
P49585,PCYT1A,4,0.3338541959571564
P49588,AARS1,1,0.39828140787342764
P49589,CARS1,1,0.3126282053312339
P49590,HARS2,3,0.4052202456867265
P49591,SARS1,1,0.35966509804508395
P49593,PPM1F,0,NA
P49720,PSMB3,0,NA
P49721,PSMB2,5,0.404464977624489
P49748,ACADVL,3,0.5150878951993019
P49755,TMED10,0,NA
P49770,EIF2B2,6,0.5160549975285531
P49773,HINT1,5,0.35912887541609223
P49789,FHIT,3,0.29970878473739715
P49821,NDUFV1,10,0.7432976800497892
P49840,GSK3A,4,0.37857457913740616
P49841,GSK3B,0,NA
P49902,NT5C2,0,NA
P49903,SEPHS1,7,0.4722909588760675
P49914,MTHFS,0,NA
P49915,GMPS,4,0.3020734326938977
P50148,GNAQ,1,0.47904604821344504
P50213,IDH3A,3,0.6174369418660556
P50238,CRIP1,1,0.6814457140180142
P50395,GDI2,5,0.5115304829756809
P50402,EMD,2,0.33573920209011615
P50440,GATM,3,0.3062241956113466
P50453,SERPINB9,1,0.39684866461152635
P50454,SERPINH1,1,0.4267879221474103
P50461,CSRP3,0,NA
P50542,PEX5,0,NA
P50552,VASP,1,0.4497659945279894
P50570,DNM2,0,NA
P50579,METAP2,8,0.42432056091897524
P50583,NUDT2,6,0.4088455264526829
P50747,HLCS,3,0.33945672403625626
P50897,PPT1,0,NA
P50914,RPL14,2,0.5936042713076508
P50990,CCT8,5,0.45900243445308625
P50991,CCT4,3,0.33894930078568386
P50993,ATP1A2,4,0.503346614943979
P50995,ANXA11,0,NA
P51114,FXR1,2,0.6535445037919837
P51148,RAB5C,1,0.6278499460949911
P51149,RAB7A,1,0.4723194395469561
P51151,RAB9A,6,0.4932005127295396
P51398,DAP3,3,0.3122233238618844
P51452,DUSP3,0,NA
P51553,IDH3G,3,0.7941984277475664
P51570,GALK1,7,0.575717596140554
P51571,SSR4,8,0.3213901706751406
P51572,BCAP31,6,0.350032310692233
P51580,TPMT,4,0.33063781383767843
P51589,CYP2J2,0,NA
P51608,MECP2,2,0.5206709614871358
P51636,CAV2,1,0.44801008399384845
P51648,ALDH3A2,2,0.32205534692426124
P51649,ALDH5A1,3,0.6875058176858208
P51659,HSD17B4,8,0.7437770320217733
P51665,PSMD7,0,NA
P51668,UBE2D1,7,0.36267870921497675
P51687,SUOX,0,NA
P51692,STAT5B,0,NA
P51809,VAMP7,0,NA
P51812,RPS6KA3,4,0.5956908952781154
P51858,HDGF,0,NA
P51884,LUM,1,0.8623383663218201
P51888,PRELP,1,0.8314992095305767
P51911,CNN1,1,0.4165978620847461
P51970,NDUFA8,10,0.6799689706166637
P51991,HNRNPA3,2,0.49527887458099257
P52179,MYOM1,2,0.831845258299833
P52209,PGD,5,0.7988273764294622
P52272,HNRNPM,2,0.6666214301126067
P52294,KPNA1,4,0.3147869182199295
P52434,POLR2H,0,NA
P52564,MAP2K6,4,0.4195195365682843
P52565,ARHGDIA,1,0.531785779293615
P52594,AGFG1,5,0.3791476661214392
P52597,HNRNPF,2,0.3998948962944035
P52758,RIDA,0,NA
P52788,SMS,9,0.35821853854467334
P52789,HK2,0,NA
P52815,MRPL12,8,0.49580283571022676
P52888,THOP1,4,0.3123080273523737
P52895,AKR1C2,1,0.3415089840000948
P52907,CAPZA1,2,0.3582740075775022
P52943,CRIP2,1,0.6896512370670796
P53004,BLVRA,5,0.6297266991590494
P53041,PPP5C,0,NA
P53367,ARFIP1,1,0.32973880423483903
P53384,NUBP1,3,0.3801475104124672
P53396,ACLY,5,0.6876834340777944
P53582,METAP1,0,NA
P53597,SUCLG1,3,0.4869134653691524
P53602,MVD,5,0.5286345275917169
P53618,COPB1,0,NA
P53621,COPA,0,NA
P53634,CTSC,0,NA
P53701,HCCS,3,0.601978346900118
P53778,MAPK12,6,0.3481482652553247
P53814,SMTN,3,0.3188937270415005
P53985,SLC16A1,3,0.31463331490674107
P53990,IST1,3,0.4237455943500048
P53992,SEC24C,0,NA
P53999,SUB1,0,NA
P54105,CLNS1A,0,NA
P54136,RARS1,9,0.645017720617089
P54289,CACNA2D1,0,NA
P54296,MYOM2,2,0.83375745221065245
P54577,YARS1,6,0.47221751646216925
P54578,USP14,5,0.5640451552218487
P54619,PRKAG1,0,NA
P54646,PRKAA2,3,0.4323917603004177
P54652,HSPA2,4,0.5893386665649544
P54725,RAD23A,5,0.45577530438564784
P54727,RAD23B,0,NA
P54819,AK2,3,0.4644724785257093
P54868,HMGCS2,0,NA
P54920,NAPA,0,NA
P55010,EIF5,9,0.5572637850046498
P55036,PSMD4,6,0.4832899859211023
P55039,DRG2,6,0.5784448785299361
P55042,RRAD,6,0.3011502198502277
P55060,CSE1L,6,0.7065758971872873
P55061,TMBIM6,0,NA
P55072,VCP,1,0.6184172708139298
P55084,HADHB,4,0.540774504542881
P55087,AQP4,2,0.3657238177645349
P55209,NAP1L1,7,0.600445236379251
P55263,ADK,1,0.5144326283639583
P55268,LAMB2,2,0.8397364854751418
P55290,CDH13,1,0.3289085456690934
P55327,TPD52,0,NA
P55735,SEC13,6,0.3125913617303376
P55769,SNU13,2,0.32337070251659084
P55786,NPEPPS,4,0.40523044852191864
P55789,GFER,0,NA
P55795,HNRNPH2,0,NA
P55809,OXCT1,1,0.3601729213505745
P55822,SH3BGR,0,NA
P55884,EIF3B,8,0.6165628723099471
P55899,FCGRT,1,0.5664940454668366
P56134,ATP5MF,9,0.6608308752865272
P56181,NDUFV3,10,0.5217294340280364
P56192,MARS1,6,0.5460874563705643
P56199,ITGA1,1,0.3518799470467374
P56211,ARPP19,0,NA
P56277,CMC4,4,0.2906534513718122
P56378,ATP5MPL,0,NA
P56385,ATP5ME,3,0.615726752678224
P56537,EIF6,0,NA
P56539,CAV3,0,NA
P56556,NDUFA6,10,0.7226042203299319
P56945,BCAR1,6,0.6509875365305766
P57105,SYNJ2BP,0,NA
P57721,PCBP3,0,NA
P57737,CORO7,1,0.5174707150286947
P57772,EEFSEC,0,NA
P58511,SMIM11A,0,NA
P58546,MTPN,1,0.4083630293897814
P59768,GNG2,1,0.5830974132010758
P59998,ARPC4,1,0.5184854509429205
P60033,CD81,1,0.7020868567166754
P60174,TPI1,9,0.5485717630501714
P60228,EIF3E,8,0.5586123269270781
P60468,SEC61B,1,0.3903761218011216
P60520,GABARAPL2,0,NA
P60602,ROMO1,3,0.3488007473191845
P60660,MYL6,1,0.47458491098436134
P60842,EIF4A1,1,0.5421130259924883
P60866,RPS20,8,0.7039288227094479
P60891,PRPS1,5,0.32592923065881635
P60900,PSMA6,0,NA
P60903,S100A10,1,0.7050346074819245
P60953,CDC42,1,0.7139770872194073
P60981,DSTN,1,0.42258693043044504
P60983,GMFB,0,NA
P61009,SPCS3,0,NA
P61011,SRP54,0,NA
P61019,RAB2A,1,0.3817380152882695
P61020,RAB5B,0,NA
P61026,RAB10,0,NA
P61077,UBE2D3,5,0.3018952965914785
P61081,UBE2M,0,NA
P61086,UBE2K,0,NA
P61088,UBE2N,0,NA
P61106,RAB14,1,0.4906938066391958
P61158,ACTR3,1,0.7297246001022698
P61160,ACTR2,1,0.6096860136464464
P61163,ACTR1A,9,0.616840648957612
P61201,COPS2,0,NA
P61221,ABCE1,3,0.3321357525399299
P61224,RAP1B,1,0.5632251355985748
P61225,RAP2B,1,0.5056847449169755
P61247,RPS3A,8,0.8872657917396909
P61313,RPL15,2,0.6971911175520424
P61353,RPL27,2,0.587732058804076
P61421,ATP6V0D1,0,NA
P61457,PCBD1,6,0.48905716778619485
P61513,RPL37A,2,0.666368624916605
P61586,RHOA,1,0.3312692620722564
P61604,HSPE1,3,0.4934338811050351
P61758,VBP1,0,NA
P61769,B2M,1,0.5212149329309054
P61803,DAD1,8,0.32680844241976637
P61916,NPC2,1,0.32637350675558235
P61923,COPZ1,0,NA
P61925,PKIA,0,NA
P61956,SUMO2,0,NA
P61960,UFM1,9,0.5812213265753917
P61962,DCAF7,0,NA
P61970,NUTF2,9,0.7781416661396553
P61978,HNRNPK,1,0.6139003681028863
P61981,YWHAG,0,NA
P62070,RRAS2,6,0.41677481059808874
P62072,TIMM10,0,NA
P62081,RPS7,8,0.6537690294138635
P62136,PPP1CA,7,0.41478776927465677
P62140,PPP1CB,2,0.305631168801333
P62191,PSMC1,0,NA
P62195,PSMC5,4,0.37863034169510806
P62241,RPS8,8,0.7799699254961168
P62244,RPS15A,8,0.48381425947637624
P62249,RPS16,8,0.6165692129945123
P62253,UBE2G1,0,NA
P62256,UBE2H,2,0.3362314620381694
P62258,YWHAE,0,NA
P62263,RPS14,8,0.7047099221631908
P62266,RPS23,8,0.4628963627422432
P62269,RPS18,8,0.7269103782344724
P62277,RPS13,8,0.6991444396797808
P62280,RPS11,8,0.609419107983634
P62312,LSM6,0,NA
P62314,SNRPD1,0,NA
P62316,SNRPD2,0,NA
P62318,SNRPD3,0,NA
P62328,TMSB4X,1,0.6559648030069427
P62330,ARF6,0,NA
P62333,PSMC6,5,0.34997570990963006
P62424,RPL7A,2,0.7905525975348054
P62487,POLR2G,4,0.34659519656157767
P62495,ETF1,0,NA
P62633,CNBP,0,NA
P62701,RPS4X,8,0.7058673380774712
P62714,PPP2CB,7,0.4211864621027127
P62750,RPL23A,8,0.7891718490280756
P62753,RPS6,8,0.8082906204960555
P62805,H4C1,2,0.7759511416409068
P62820,RAB1A,1,0.3549878975390101
P62826,RAN,5,0.7112436082259387
P62829,RPL23,8,0.7668518524308175
P62834,RAP1A,1,0.3665835949777926
P62841,RPS15,2,0.3544068068725994
P62847,RPS24,8,0.5971685463366888
P62851,RPS25,6,0.6358395650806558
P62857,RPS28,8,0.463154992740594
P62873,GNB1,1,0.5131313864231677
P62877,RBX1,0,NA
P62879,GNB2,1,0.5702721126520901
P62888,RPL30,2,0.5461451619256017
P62899,RPL31,2,0.41320858578130953
P62906,RPL10A,2,0.6453419542949481
P62910,RPL32,2,0.6078992411826636
P62913,RPL11,0,NA
P62917,RPL8,2,0.6706778681960369
P62937,PPIA,7,0.8092818261394399
P62942,FKBP1A,0,NA
P62979,RPS27A,8,0.32381361881338677
P62993,GRB2,2,0.5583630412812339
P62995,TRA2B,2,0.4954171449258434
P63000,RAC1,0,NA
P63010,AP2B1,1,0.43798776295008846
P63027,VAMP2,0,NA
P63096,GNAI1,1,0.49171493145534695
P63098,PPP3R1,0,NA
P63104,YWHAZ,1,0.8262715339859187
P63146,UBE2B,0,NA
P63151,PPP2R2A,0,NA
P63172,DYNLT1,0,NA
P63173,RPL38,8,0.6649524001890844
P63208,SKP1,5,0.5631938154577124
P63220,RPS21,8,0.6995740361540762
P63241,EIF5A,7,0.4795123838417116
P63244,RACK1,8,0.7517100299434167
P63279,UBE2I,7,0.6256769735921243
P63302,SELENOW,4,0.30563316217570524
P63313,TMSB10,0,NA
P63316,TNNC1,2,0.8103116312088706
P67775,PPP2CA,9,0.44880699432352616
P67809,YBX1,2,0.4475609273480555
P67812,SEC11A,2,0.38598600389540966
P67870,CSNK2B,1,0.3205781795014351
P67936,TPM4,1,0.584544831310174
P68036,UBE2L3,1,0.37279147886804176
P68133,ACTA1,2,0.7487887902918908
P68366,TUBA4A,4,0.39894199879330755
P68371,TUBB4B,0,NA
P68400,CSNK2A1,0,NA
P68402,PAFAH1B2,7,0.6199576393504863
P78318,IGBP1,6,0.38401371992341654
P78344,EIF4G2,8,0.41728154439823056
P78347,GTF2I,0,NA
P78356,PIP4K2B,0,NA
P78371,CCT2,5,0.5225003657482784
P78417,GSTO1,5,0.47269513243419436
P78527,PRKDC,8,0.3802361831982919
P78560,CRADD,0,NA
P79483,HLA-DRB3,0,NA
P80188,LCN2,5,0.735294485086277
P80723,BASP1,1,0.6782239244257247
P82650,MRPS22,0,NA
P82663,MRPS25,3,0.4582049903125945
P82664,MRPS10,0,NA
P82673,MRPS35,0,NA
P82675,MRPS5,0,NA
P82909,MRPS36,0,NA
P82912,MRPS11,0,NA
P82914,MRPS15,3,0.3241189212401222
P82921,MRPS21,0,NA
P82930,MRPS34,0,NA
P82933,MRPS9,3,0.5430093786458329
P82979,SARNP,0,NA
P83111,LACTB,10,0.5908119638528224
P83731,RPL24,2,0.49437323891035806
P84022,SMAD3,0,NA
P84085,ARF5,0,NA
P84090,ERH,2,0.512991430028646
P84095,RHOG,1,0.6314251581233886
P84098,RPL19,2,0.44423616992951886
P84103,SRSF3,0,NA
P84157,MXRA7,0,NA
P98095,FBLN2,1,0.5393949492120808
P98160,HSPG2,2,0.7907681131071868
P98194,ATP2C1,0,NA
P99999,CYCS,0,NA
Q00059,TFAM,3,0.6336266259377696
Q00169,PITPNA,1,0.38854810060859896
Q00325,SLC25A3,3,0.621417091345064
Q00341,HDLBP,8,0.5649780646462077
Q00535,CDK5,0,NA
Q00577,PURA,2,0.5104271889751011
Q00610,CLTC,1,0.6550114543863185
Q00688,FKBP3,8,0.5479402117651129
Q00765,REEP5,0,NA
Q00796,SORD,6,0.4408557294860751
Q00839,HNRNPU,2,0.4179370892350113
Q00872,MYBPC1,2,0.8800538829908808
Q00G26,PLIN5,4,0.521817897288196
Q01082,SPTBN1,1,0.7340545224979521
Q01085,TIAL1,0,NA
Q01105,SET,9,0.33580912753013636
Q01130,SRSF2,0,NA
Q01432,AMPD3,0,NA
Q01469,FABP5,1,0.7330827704458633
Q01484,ANK2,0,NA
Q01518,CAP1,1,0.7720950396427669
Q01628,IFITM3,1,0.431927275834447
Q01804,OTUD4,4,0.41922122009411467
Q01814,ATP2B2,4,0.6434295852938484
Q01844,EWSR1,1,0.30870611261634934
Q01995,TAGLN,1,0.5659696094843258
Q02045,MYL5,2,0.6015194785416416
Q02127,DHODH,0,NA
Q02218,OGDH,3,0.6529009590084897
Q02221,COX6A2,0,NA
Q02252,ALDH6A1,5,0.2926220652295082
Q02318,CYP27A1,0,NA
Q02338,BDH1,3,0.4938877124409126
Q02543,RPL18A,2,0.6898926721903419
Q02641,CACNB1,4,0.5373409699283704
Q02750,MAP2K1,6,0.4634892480092001
Q02790,FKBP4,0,NA
Q02818,NUCB1,1,0.33310353119044683
Q02878,RPL6,2,0.7409821841377411
Q02952,AKAP12,1,0.8652415657901354
Q02978,SLC25A11,3,0.5407835579193899
Q03013,GSTM4,9,0.4524882252253064
Q03135,CAV1,1,0.47937316952503817
Q03154,ACY1,3,0.595464881831639
Q03169,TNFAIP2,0,NA
Q03252,LMNB2,2,0.7884341798328194
Q04206,RELA,0,NA
Q04323,UBXN1,2,0.3271513189179147
Q04446,GBE1,1,0.3883133419321377
Q04637,EIF4G1,2,0.37742894749181555
Q04759,PRKCQ,4,0.47575920024121854
Q04760,GLO1,5,0.28890619011895924
Q04837,SSBP1,3,0.4694538133863797
Q04917,YWHAH,1,0.3452913199818878
Q04941,PLP2,1,0.3459409799864521
Q05086,UBE3A,4,0.6232484004156466
Q05397,PTK2,0,NA
Q05519,SRSF11,0,NA
Q05639,EEF1A2,9,0.5969498120075163
Q05682,CALD1,1,0.6340183811065885
